LapTimeCurrent,SpeedKmh,Throttle,Brake,Steering,Gear,Rpms,GlobalAccelerationG,LateralG,CarCoordX,CarCoordZ,TyreTempFL,TyreTempFR,TyreTempRL,TyreTempRR,BrakeTempFL,BrakeTempFR,BrakeTempRL,BrakeTempRR
23046,5.35,1.0,0.0,0.0002,2,2473,1.0821,0.0127,-171.639,-42.889,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23070,6.17,1.0,0.0,0.0002,2,2472,1.1277,0.0081,-171.622,-42.854,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23088,6.27,1.0,0.0,0.0002,2,2473,1.0201,-0.0101,-171.608,-42.826,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23109,7.02,1.0,0.0,0.0002,2,2472,1.0385,0.009,-171.59,-42.791,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23127,7.42,1.0,0.0,0.0002,2,2473,1.0199,-0.0054,-171.574,-42.759,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23151,8.0,1.0,0.0,0.0002,2,2473,0.9717,0.0123,-171.551,-42.714,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23178,8.48,1.0,0.0,0.0002,2,2473,0.8664,0.0072,-171.524,-42.658,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23196,8.96,1.0,0.0,0.0002,2,2473,0.7767,0.0001,-171.504,-42.619,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23214,9.45,1.0,0.0,0.0002,2,2473,0.7471,-0.0037,-171.483,-42.578,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23238,9.94,1.0,0.0,0.0002,2,2473,0.6991,0.0094,-171.454,-42.52,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23259,10.36,1.0,0.0,0.0002,2,2473,0.6774,0.0163,-171.428,-42.467,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23277,10.85,1.0,0.0,0.0002,2,2473,0.6651,-0.015,-171.404,-42.419,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23295,11.34,1.0,0.0,0.0002,2,2474,0.6712,0.0275,-171.379,-42.369,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23322,11.83,1.0,0.0,0.0002,2,2474,0.6647,-0.0285,-171.34,-42.291,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23340,12.39,1.0,0.0,0.0002,2,2474,0.6684,-0.0201,-171.313,-42.237,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23367,12.88,1.0,0.0,0.0002,2,2474,0.6681,0.0203,-171.27,-42.152,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23385,13.36,1.0,0.0,0.0002,2,2474,0.6507,-0.0223,-171.241,-42.093,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23409,13.92,1.0,0.0,0.0002,2,2474,0.6548,-0.0229,-171.2,-42.012,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23430,14.41,1.0,0.0,0.0002,2,2475,0.6597,0.0254,-171.163,-41.938,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23448,14.9,1.0,0.0,0.0002,2,2475,0.6568,-0.015,-171.13,-41.872,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23466,15.32,1.0,0.0,0.0002,2,2475,0.6495,-0.0164,-171.096,-41.805,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23493,15.81,1.0,0.0,0.0002,2,2475,0.6603,0.01,-171.044,-41.7,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23511,16.3,1.0,0.0,0.0002,2,2475,0.6734,-0.0206,-171.008,-41.628,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23532,16.79,1.0,0.0,0.0002,2,2476,0.6638,0.0148,-170.965,-41.541,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23550,17.28,1.0,0.0,0.0002,2,2476,0.6731,-0.0243,-170.927,-41.465,80.0,80.0,80.0,80.0,0.0,26.0,26.0,26.0
23568,17.7,0.9686,0.0,0.0002,2,2470,0.6448,-0.0131,-170.888,-41.387,79.9,79.9,80.0,80.0,0.0,26.0,26.0,26.0
23595,18.17,0.7529,0.0,0.0002,2,2448,0.6316,0.0221,-170.827,-41.266,79.9,79.9,80.0,80.0,0.0,26.0,26.0,26.0
23613,18.62,0.7529,0.0,0.0002,2,2426,0.4982,0.0205,-170.786,-41.184,79.9,79.9,80.0,80.0,0.0,26.0,26.0,26.0
23640,18.95,0.5686,0.0,0.0002,2,2390,0.3361,-0.0296,-170.723,-41.058,79.9,79.9,80.0,80.0,0.0,26.0,26.0,26.0
23658,19.26,0.3686,0.0,0.0002,2,2369,0.345,-0.028,-170.68,-40.972,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
23679,19.48,0.2392,0.0,0.0002,2,2356,0.3106,0.0134,-170.629,-40.871,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
23703,19.71,0.2392,0.0,0.0002,2,2351,0.2479,0.0195,-170.571,-40.755,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
23730,19.84,0.0706,0.0,0.0002,2,2277,0.0816,-0.0135,-170.505,-40.622,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
23751,19.91,0.0,0.0,0.0002,2,2259,0.0848,0.0262,-170.453,-40.518,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
23772,19.95,0.0,0.0,0.0002,2,2254,0.0311,0.019,-170.393,-40.399,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
23793,19.99,0.0,0.0,0.0002,2,2253,0.0509,-0.018,-170.348,-40.31,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
23814,20.02,0.0,0.0,0.0002,2,2253,0.0425,-0.0229,-170.296,-40.206,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
23829,20.05,0.0,0.0,0.0002,2,2253,0.0491,0.0202,-170.259,-40.131,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
23850,20.09,0.0,0.0,0.0002,2,2253,0.05,-0.0192,-170.206,-40.026,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
23874,20.13,0.0,0.0,0.0002,2,2253,0.0637,0.0158,-170.146,-39.906,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
23895,20.16,0.0,0.0,0.0002,2,2253,0.0357,0.0244,-170.094,-39.801,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
23916,20.19,0.0,0.0,0.0002,2,2253,0.0431,-0.0198,-170.041,-39.696,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
23934,20.23,0.0,0.0,0.0002,2,2253,0.0477,0.0255,-169.996,-39.606,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
23955,20.26,0.0,0.0,0.0002,2,2253,0.052,0.0223,-169.943,-39.5,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
23973,20.29,0.0,0.0,0.0002,2,2253,0.0554,-0.0248,-169.897,-39.409,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
23994,20.33,0.0,0.0,0.0002,2,2253,0.0371,0.0127,-169.844,-39.303,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
24012,20.37,0.0,0.0,0.0002,2,2253,0.0509,-0.0284,-169.791,-39.197,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
24033,20.4,0.0,0.0,0.0002,2,2253,0.0533,-0.0154,-169.745,-39.106,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
24054,20.43,0.0,0.0,0.0002,2,2253,0.0489,0.0271,-169.692,-39.0,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
24072,20.47,0.0,0.0,0.0002,2,2253,0.0577,-0.0126,-169.646,-38.908,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
24093,20.51,0.0,0.0,0.0002,2,2253,0.0537,0.0138,-169.593,-38.801,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
24114,20.54,0.0,0.0,0.0002,2,2253,0.0397,0.0191,-169.539,-38.694,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
24132,20.57,0.0,0.0,0.0002,2,2253,0.0375,-0.0284,-169.493,-38.602,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
24153,20.61,0.0,0.0,0.0002,2,2253,0.0517,0.0261,-169.44,-38.495,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
24174,20.64,0.0,0.0,0.0002,2,2253,0.0536,0.0282,-169.386,-38.387,79.9,79.9,79.9,79.9,0.0,26.0,26.0,26.0
24198,20.68,0.0,0.0,0.0002,2,2253,0.048,0.0199,-169.324,-38.264,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
24216,20.71,0.0,0.0,0.0002,2,2253,0.0507,-0.0357,-169.278,-38.172,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
24243,20.75,0.0,0.0,0.0002,2,2253,0.0466,0.0024,-169.208,-38.033,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
24261,20.78,0.0,0.0,0.0002,2,2253,0.0439,-0.0181,-169.161,-37.94,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
24279,20.81,0.0,0.0,0.0002,2,2253,0.0454,-0.0162,-169.115,-37.847,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
24303,20.85,0.0,0.0,0.0002,2,2253,0.0611,0.0382,-169.053,-37.723,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
24321,20.88,0.0,0.0,0.0002,2,2253,0.0551,-0.0135,-169.006,-37.629,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
24339,20.92,0.0118,0.0,0.0002,2,2253,0.0421,0.0214,-168.959,-37.536,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
24363,20.95,0.0118,0.0,0.0002,2,2253,0.0445,-0.0274,-168.897,-37.411,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
24381,21.04,0.3608,0.0,0.0002,2,2359,0.2915,0.0103,-168.85,-37.317,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
24405,21.25,0.8196,0.0,0.0002,2,2430,0.2869,-0.0195,-168.787,-37.191,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
24423,21.57,0.8196,0.0,0.0002,2,2442,0.5115,-0.0262,-168.739,-37.095,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
24444,22.0,0.9961,0.0,0.0002,2,2478,0.6702,0.0027,-168.682,-36.982,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
24462,22.49,1.0,0.0,0.0002,2,2480,0.6794,0.0076,-168.632,-36.882,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
24486,22.98,1.0,0.0,0.0002,2,2481,0.6489,0.0148,-168.564,-36.747,79.8,79.8,79.9,79.9,0.0,26.0,26.0,26.0
24504,23.4,1.0,0.0,0.0002,2,2482,0.6759,0.0165,-168.512,-36.643,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
24528,23.89,1.0,0.0,0.0002,2,2483,0.6471,-0.0158,-168.441,-36.501,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
24546,24.38,1.0,0.0,0.0002,2,2484,0.6551,0.0172,-168.387,-36.393,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
24570,24.93,1.0,0.0,0.0002,2,2485,0.6581,0.0104,-168.313,-36.246,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
24591,25.42,1.0,0.0,0.0002,2,2487,0.6689,-0.0201,-168.247,-36.115,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
24612,25.84,1.0,0.0,0.0002,2,2488,0.6854,-0.0217,-168.18,-35.981,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
24633,26.4,1.0,0.0,0.0002,2,2490,0.6667,-0.0141,-168.112,-35.844,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
24651,26.82,1.0,0.0,0.0002,2,2493,0.6584,-0.02,-168.052,-35.725,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
24672,27.3,1.0,0.0,0.0002,2,2496,0.6604,0.0195,-167.982,-35.584,79.8,79.8,79.8,79.8,0.0,26.0,26.0,26.0
24693,27.86,1.0,0.0,0.0002,2,2500,0.6674,0.019,-167.91,-35.44,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
24717,28.28,1.0,0.0,0.0002,2,2505,0.6554,0.012,-167.826,-35.272,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
24732,28.77,1.0,0.0,0.0002,2,2512,0.6572,-0.0186,-167.772,-35.166,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
24759,29.25,1.0,0.0,0.0002,2,2521,0.6573,0.022,-167.675,-34.971,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
24774,29.74,1.0,0.0,0.0002,2,2534,0.6469,-0.0205,-167.62,-34.861,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
24795,30.16,1.0,0.0,0.0002,2,2547,0.661,-0.0129,-167.542,-34.705,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
24813,30.64,1.0,0.0,0.0002,2,2566,0.6545,0.021,-167.474,-34.569,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
24834,31.12,1.0,0.0,0.0002,2,2590,0.6401,-0.0147,-167.393,-34.408,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
24855,31.54,1.0,0.0,0.0002,2,2588,0.7417,-0.0179,-167.311,-34.244,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
24879,31.95,1.0,0.0,0.0002,2,2942,0.6357,-0.0186,-167.217,-34.055,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
24900,32.46,1.0,0.0,0.0002,2,2911,1.0612,0.028,-167.133,-33.887,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
24921,32.76,1.0,0.0,0.0002,2,3412,1.0718,-0.0082,-167.047,-33.717,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
24939,33.32,0.9961,0.0,0.0002,2,3204,1.1369,0.0171,-166.973,-33.569,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
24960,33.79,0.9961,0.0,0.0002,2,3245,1.1286,0.0137,-166.886,-33.395,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
24981,34.37,0.9882,0.0,0.0002,2,3290,1.1179,-0.0049,-166.797,-33.217,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
25002,35.2,0.9765,0.0,0.0002,2,3102,1.1435,0.016,-166.706,-33.035,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
25020,35.92,0.9765,0.0,0.0002,2,2938,1.0499,0.0045,-166.626,-32.876,79.7,79.7,79.8,79.8,0.0,26.0,26.0,26.0
25041,36.45,0.9412,0.0,0.0002,2,2980,0.6368,0.0033,-166.531,-32.687,79.7,79.7,79.7,79.7,0.0,26.0,26.0,26.0
25068,37.02,0.9412,0.0,0.0002,2,3029,0.6688,-0.0383,-166.408,-32.44,79.7,79.7,79.7,79.7,0.0,26.0,26.0,26.0
25083,37.45,0.9216,0.0,0.0002,2,3063,0.683,-0.0402,-166.338,-32.301,79.7,79.7,79.7,79.7,0.0,26.0,26.0,26.0
